,timestep,signal,consumption
0,20000.0,50215.110688856,54000.0
1,20001.0,52983.71044316277,48000.0
2,20002.0,53696.52272654939,54000.0
3,20003.0,55280.11921284767,54000.0
4,20004.0,58171.73487544038,48000.0
5,20005.0,61799.36340943213,48000.0
6,20006.0,63675.841524292664,48000.0
7,20007.0,62659.00929804905,54000.0
8,20008.0,61791.03048164895,54000.0
9,20009.0,60882.290414041636,48000.0
10,20010.0,60411.68829912669,48000.0
11,20011.0,58033.69870895636,54000.0
12,20012.0,55601.53312569239,54000.0
13,20013.0,54189.1233029401,48000.0
14,20014.0,53956.77255339342,54000.0
15,20015.0,52882.756170063316,54000.0
16,20016.0,51571.58082097923,42000.0
17,20017.0,49260.60285052869,42000.0
18,20018.0,47775.13468409895,42000.0
19,20019.0,48498.82174906865,54000.0
20,20020.0,48711.13137678114,54000.0
21,20021.0,48677.859131553254,48000.0
22,20022.0,47886.39073815046,48000.0
23,20023.0,46748.44560738524,54000.0
24,20024.0,44482.64932314467,54000.0
25,20025.0,44222.058712038735,48000.0
26,20026.0,44922.07876799315,54000.0
27,20027.0,44811.61505340638,54000.0
28,20028.0,44612.774366570695,48000.0
29,20029.0,45482.08415403624,42000.0
30,20030.0,45594.28826847568,42000.0
31,20031.0,43990.15106524819,48000.0
32,20032.0,46225.23389914305,54000.0
33,20033.0,47567.07751262993,48000.0
34,20034.0,46111.57745343249,48000.0
35,20035.0,45495.1577126978,54000.0
36,20036.0,46175.87926141973,48000.0
37,20037.0,44383.035619344926,48000.0
38,20038.0,46867.48399473881,54000.0
39,20039.0,47967.19202836803,48000.0
40,20040.0,49344.82631751146,48000.0
41,20041.0,52953.311619250395,48000.0
42,20042.0,53074.104789933845,42000.0
43,20043.0,52782.935473286365,54000.0
44,20044.0,49799.021521107774,54000.0
45,20045.0,44646.874895050896,48000.0
46,20046.0,42833.424065155574,54000.0
47,20047.0,42474.82327197192,54000.0
48,20048.0,41458.619595750926,48000.0
49,20049.0,39192.45960614444,54000.0
50,20050.0,36195.9750123395,48000.0
51,20051.0,35176.47075651119,48000.0
52,20052.0,34855.40406131939,48000.0
53,20053.0,34417.18894424461,42000.0
54,20054.0,35664.78898110835,36000.0
55,20055.0,39678.82258924485,36000.0
56,20056.0,41511.89116818833,48000.0
57,20057.0,43706.61808076659,48000.0
58,20058.0,46506.22245520739,54000.0
59,20059.0,47967.19202836803,54000.0
60,20060.0,49292.86145816186,54000.0
61,20061.0,52533.07108906416,54000.0
62,20062.0,57023.578908897776,54000.0
63,20063.0,60579.28882426016,54000.0
64,20064.0,62710.78228616674,54000.0
65,20065.0,64422.25635093047,60000.0
66,20066.0,65408.988484116686,54000.0
67,20067.0,63523.67278891629,54000.0
68,20068.0,61341.37791435363,54000.0
69,20069.0,60078.289922092736,48000.0
70,20070.0,57583.76661480575,54000.0
71,20071.0,55830.25893760383,54000.0
72,20072.0,55312.37888875122,54000.0
73,20073.0,57031.55967457288,48000.0
74,20074.0,55653.73517518241,54000.0
75,20075.0,54717.46749855703,54000.0
76,20076.0,53471.88583088531,42000.0
77,20077.0,52089.5022944493,42000.0
78,20078.0,48750.252008842705,42000.0
79,20079.0,47967.19202836803,54000.0
80,20080.0,46862.09177058054,48000.0
81,20081.0,42754.80642052188,48000.0
82,20082.0,38358.79761100951,48000.0
83,20083.0,34537.41923964272,54000.0
84,20084.0,32521.69808086565,30000.0
85,20085.0,32404.783032172527,30000.0
86,20086.0,32604.901145474378,30000.0
87,20087.0,31363.103119437328,24000.0
88,20088.0,34275.44268606604,24000.0
89,20089.0,37126.58844229818,18000.0
90,20090.0,38596.159745175,30000.0
91,20091.0,42617.60268114385,30000.0
