,timestep,signal,consumption
0,20000.0,46446.43204484511,30000.0
1,20004.0,38144.80423624668,48000.0
2,20008.0,42399.026725224794,48000.0
3,20012.0,51841.47906232023,48000.0
4,20016.0,53783.137923799746,60000.0
5,20020.0,47863.77473812769,48000.0
6,20024.0,43341.59715219015,48000.0
7,20028.0,51881.15633765257,54000.0
8,20032.0,59901.82547269054,48000.0
9,20036.0,61026.0358632958,48000.0
10,20040.0,40996.40993390964,48000.0
11,20044.0,32782.610343897664,42000.0
12,20048.0,41142.68238154227,24000.0
13,20052.0,45264.28570703279,42000.0
14,20056.0,53467.73879631462,54000.0
15,20060.0,46019.974225386744,54000.0
16,20064.0,46086.569938939,54000.0
17,20068.0,41875.29072863178,48000.0
18,20072.0,35868.91916825012,36000.0
19,20076.0,35221.33902053148,42000.0
20,20080.0,51124.67652540781,48000.0
21,20084.0,57761.48431073966,54000.0
22,20088.0,56850.40399947222,54000.0
23,20092.0,45400.94631986886,48000.0
24,20096.0,46580.83009309807,42000.0
25,20100.0,51637.851805151935,54000.0
26,20104.0,56909.858827036274,48000.0
27,20108.0,59069.43452639252,42000.0
28,20112.0,55679.6085090437,54000.0
29,20116.0,50269.46330760717,54000.0
30,20120.0,48988.48623383075,42000.0
31,20124.0,41470.35720849157,54000.0
32,20128.0,40977.630327977626,42000.0
33,20132.0,45260.64955287755,42000.0
34,20136.0,48822.72103175448,54000.0
35,20140.0,48151.954583136016,48000.0
36,20144.0,48978.64104227371,42000.0
37,20148.0,55068.93811193273,54000.0
38,20152.0,48304.253515652126,48000.0
39,20156.0,46385.766207538065,42000.0
40,20160.0,52416.99820307768,54000.0
41,20164.0,50906.5372528437,48000.0
42,20168.0,56328.86786707929,42000.0
43,20172.0,59804.42250313313,54000.0
44,20176.0,48480.60700919052,48000.0
45,20180.0,47993.2404029486,42000.0
46,20184.0,44155.88366875874,54000.0
47,20188.0,42062.42595120706,48000.0
48,20192.0,42907.44087656288,42000.0
49,20196.0,53454.486087927005,54000.0
50,20200.0,44953.09670623279,48000.0
51,20204.0,42632.083350207824,42000.0
52,20208.0,40763.18786037739,54000.0
53,20212.0,41777.80405721112,48000.0
54,20216.0,43623.17770401837,48000.0
55,20220.0,48689.67998846687,54000.0
56,20224.0,51822.62814905783,48000.0
57,20228.0,51360.24859667402,42000.0
58,20232.0,48144.50092953333,54000.0
59,20236.0,48384.61792140167,48000.0
60,20240.0,48551.46918653687,42000.0
61,20244.0,49270.423451215014,54000.0
62,20248.0,49411.83844308058,48000.0
63,20252.0,49575.354656591604,42000.0
64,20256.0,46027.84740711089,54000.0
65,20260.0,47561.75276712523,48000.0
66,20264.0,53177.0043419427,48000.0
67,20268.0,56142.155722907555,54000.0
68,20272.0,52449.67409086617,48000.0
69,20276.0,48551.207048485885,42000.0
70,20280.0,45709.12784909327,54000.0
71,20284.0,41100.653220957334,48000.0
72,20288.0,33364.46534099521,42000.0
73,20292.0,39359.39483003238,30000.0
74,20296.0,43517.041038398434,36000.0
75,20300.0,46609.59612892266,48000.0
76,20304.0,47609.248101637764,48000.0
77,20308.0,44061.21540477166,42000.0
78,20312.0,48341.65361936263,60000.0
79,20316.0,43002.372757491336,54000.0
80,20320.0,47614.81426114862,36000.0
81,20324.0,60579.73136773401,66000.0
82,20328.0,67872.627698144,54000.0
83,20332.0,64371.71300375969,54000.0
84,20336.0,60501.439066795836,60000.0
85,20340.0,40784.15087645572,54000.0
86,20344.0,38767.31585798965,24000.0
87,20348.0,40142.41358379103,48000.0
88,20352.0,33744.53223731095,54000.0
89,20356.0,48654.32269239034,48000.0
90,20360.0,48251.367117325295,42000.0
91,20364.0,53524.12658608551,54000.0
92,20368.0,49007.2836952761,54000.0
93,20372.0,51110.28665912577,48000.0
94,20376.0,49312.2541849156,54000.0
95,20380.0,48573.22029831257,54000.0
96,20384.0,42686.08563321818,42000.0
97,20388.0,47981.57650488703,54000.0
98,20392.0,56856.372957926986,54000.0
99,20396.0,45212.25339672833,48000.0
100,20400.0,47482.54514598896,54000.0
101,20404.0,47346.65557281169,54000.0
102,20408.0,40176.84873415534,42000.0
103,20412.0,36873.518949171674,30000.0
104,20416.0,40874.78150357317,30000.0
105,20420.0,47583.64674706628,48000.0
106,20424.0,54772.779894626394,54000.0
107,20428.0,57701.6119259447,60000.0
108,20432.0,49014.15132667284,60000.0
109,20436.0,43997.49179449088,54000.0
110,20440.0,50215.33347037772,54000.0
111,20444.0,48748.19957259703,60000.0
112,20448.0,33432.76323595037,36000.0
113,20452.0,31462.596542514144,30000.0
114,20456.0,45904.503398507615,36000.0
115,20460.0,47716.43903774309,54000.0
116,20464.0,49395.48135858074,54000.0
117,20468.0,46377.55615318494,42000.0
118,20472.0,39659.82117711048,48000.0
119,20476.0,39662.08892804715,54000.0
120,20480.0,50626.07236689283,48000.0
121,20484.0,67679.75748166065,54000.0
122,20488.0,69471.10230353939,54000.0
123,20492.0,55752.944875478046,54000.0
124,20496.0,50309.411802006805,54000.0
125,20500.0,51166.735188956074,36000.0
126,20504.0,43910.018088707555,54000.0
127,20508.0,34329.50964868908,36000.0
128,20512.0,30678.25964505862,30000.0
129,20516.0,40436.28880177247,30000.0
130,20520.0,50431.84784899059,42000.0
131,20524.0,56614.71948243941,54000.0
132,20528.0,58437.707700056475,60000.0
133,20532.0,47806.887584154756,54000.0
134,20536.0,47776.88930250716,54000.0
135,20540.0,48596.14736025237,48000.0
136,20544.0,56749.62873059289,54000.0
137,20548.0,50693.77798965895,54000.0
138,20552.0,43388.46426994842,36000.0
139,20556.0,41667.708626449195,36000.0
140,20560.0,47143.140051604714,54000.0
141,20564.0,48173.11437343514,42000.0
142,20568.0,43242.348350471875,30000.0
143,20572.0,36699.630955829045,24000.0
144,20576.0,41815.18709053731,42000.0
145,20580.0,48454.226207222084,48000.0
146,20584.0,47870.37699606196,48000.0
147,20588.0,44924.0106674622,48000.0
148,20592.0,44543.22144687426,48000.0
149,20596.0,48175.31191890905,48000.0
150,20600.0,47389.269502862895,48000.0
151,20604.0,52818.1810341435,48000.0
152,20608.0,49510.90402782048,48000.0
153,20612.0,36170.197581876884,42000.0
154,20616.0,43400.26797230541,48000.0
155,20620.0,49323.59486121588,48000.0
156,20624.0,56514.554517709046,48000.0
157,20628.0,62998.639178332676,48000.0
158,20632.0,55655.583081175515,48000.0
159,20636.0,53981.00168762164,54000.0
160,20640.0,46938.172445637654,48000.0
161,20644.0,34097.0870661299,54000.0
162,20648.0,34135.30633063666,36000.0
163,20652.0,39441.74190123461,48000.0
164,20656.0,39848.327535774544,54000.0
165,20660.0,52543.010111887575,48000.0
166,20664.0,63270.29500533664,60000.0
167,20668.0,58214.37529390855,60000.0
168,20672.0,47211.042888357,54000.0
169,20676.0,50691.56593231237,48000.0
170,20680.0,48295.03011109973,54000.0
171,20684.0,46479.355066923905,42000.0
172,20688.0,50322.53451753852,48000.0
173,20692.0,48030.144935162505,54000.0
174,20696.0,54509.4300705558,54000.0
175,20700.0,41962.35764699116,42000.0
176,20704.0,38221.44564427728,36000.0
177,20708.0,46449.86283268393,36000.0
178,20712.0,61680.050601225026,54000.0
179,20716.0,60842.58405056069,54000.0
180,20720.0,41649.846126698045,48000.0
181,20724.0,34496.43075466012,24000.0
182,20728.0,30171.954886042215,30000.0
183,20732.0,24353.20584274943,30000.0
184,20736.0,35126.32887808305,24000.0
185,20740.0,50207.74185066062,48000.0
186,20744.0,63869.85870444864,60000.0
187,20748.0,66632.52256684849,72000.0
188,20752.0,52767.30814515696,54000.0
189,20756.0,55714.58134968436,48000.0
190,20760.0,41618.900792151966,48000.0
191,20764.0,39721.88884364324,54000.0
192,20768.0,43269.25189158043,36000.0
193,20772.0,50785.92140066613,54000.0
194,20776.0,57169.24086479108,54000.0
195,20780.0,45763.065116718564,42000.0
196,20784.0,33868.394763321514,48000.0
197,20788.0,39816.37994451305,48000.0
198,20792.0,47109.33051654678,42000.0
199,20796.0,54746.19195066246,60000.0
200,20800.0,46252.1166647188,54000.0
